CNPJ,Instituição,Endereço (carta),Responsável (QSA),Cargo (QSA),Fonte
43050917000103,"ACTIVTRADES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.","Rua Angelo La Porta, 53 Atico N 01 E 02 — Centro — Florianopolis/Sc — CEP 88020-600",Alexandre Ferraz De Oliveira,Administrador,minhareceita
17312661000155,AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA,"Rua Dos Guajajaras, 581 Andar: 3 E 5; — Centro — Belo Horizonte/Mg — CEP 30180-100",Afranio Mourao Franklin,Sócio-Administrador,minhareceita
61384004000105,AVENUE SECURITIES BANCO DE INVESTIMENTO S.A.,"Rua Maria Carolina, 624 Andar 4 Conj 42 — Jardim Paulistano — Sao Paulo/Sp — CEP 01445-000",Carlos Eduardo Andreoni Ambrosio,Diretor,minhareceita
18684408000195,AZIMUT BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,"Rua Leopoldo Couto De Magalhaes Junior, 758 Andar 14 — Itaim Bibi — Sao Paulo/Sp — CEP 04542-000",Marcelo Sepulveda,Administrador,minhareceita
33132044000124,BANCO CEDULA S.A.,"Rua Goncalves Dias, 65 A 67 — Centro — Rio De Janeiro/Rj — CEP 20050-030",Aron Nesanelovicz,Presidente,minhareceita
33042151000161,BANCO DE LA NACION ARGENTINA,"Avenida Paulista, 2319 Terreo — Cerqueira Cesar — Sao Paulo/Sp — CEP 01311-300",,,minhareceita
44189447000126,BANCO DE LA PROVINCIA DE BUENOS AIRES,"Rua Libero Badaro, 425 Cj.E261 — Centro — Sao Paulo/Sp — CEP 01009-000",,,minhareceita
33588252000132,BANCO INDUSCRED DE INVESTIMENTO S.A.,"Alameda Santos, 1357 Andar Mezanino — Cerqueira Cesar — Sao Paulo/Sp — CEP 01419-908",Andre Kissajikian,Diretor,minhareceita
40429946000192,BANCO PORTO REAL DE INVESTIMENTOS S.A,"Rua Quatro, 670 Sala 03 — Loteamento Imperial Center — Porto Real/Rj — CEP 27570-000",Luiz Eduardo Tarquinio Monteiro Da Costa,Presidente,minhareceita
80271455000180,BANCO RNX S.A.,"Rua Heitor Stockler De Franca, 396 Sala 303 Andar 03 Cond Neo Super Quadra Ed Bloco Neo Super Quadra Tor — Centro Civico — Curitiba/Pr — CEP 80030-030",Joao Mauricio Archer Wanderley,Diretor,BrasilAPI
78626983000163,BANCO VR S.A.,"Avenida Dos Bandeirantes 460, 460 — Brooklin Paulista — Sao Paulo/Sp — CEP 04553-900",Marcio Del Nero,Diretor,BrasilAPI
54541468000112,BCP SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Rua Visconde De Piraja, 00430 Salas 1.101 1.102 1.103 1.104 1.105 1.106 — Ipanema — Rio De Janeiro/Rj — CEP 22410-002",Bruno Bussadori Orlandini,Administrador,BrasilAPI
33862244000132,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,"Avenida Almirante Barroso, 52 Andar 23 Sala 2301 — Centro — Rio De Janeiro/Rj — CEP 20031-000",Carlos Eduardo Sinclair Lyra Magalhaes,Administrador,BrasilAPI
27842177000191,"BPY CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.","Avenida Queiroz Filho, 1700 Bloco A Conj 305 — Vila Hamburguesa — Sao Paulo/Sp — CEP 05319-000",Alexandre Ferrari,Diretor,BrasilAPI
62237649000188,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"Rua Cantagalo, 74 Andar 11 Conj 1109 — Vila Gomes Cardim — Sao Paulo/Sp — CEP 03319-000",Arnaldo Robles Filho,Sócio-Administrador,BrasilAPI
02685483000130,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA","Rua Gomes De Carvalho, 1195 Andar 4 Sala 2A Edif Madison — Vila Olimpia — Sao Paulo/Sp — CEP 04547-004",Alexandre Nogueira Jahnecke,Administrador,BrasilAPI
09512542000118,CODEPE CORRETORA DE VALORES E CÂMBIO S.A.,"Alameda Madeira, 258 Andar 10 Sala 1001 1002 1005 1006 — Alphaville Centro Industrial E Empresarial/Alphav — Barueri/Sp — CEP 06454-010",Fernando Bastos De Aguiar,Presidente,BrasilAPI
00460065000110,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,"Travessa Do Ouvidor, 00005 Sal 701 — Centro — Rio De Janeiro/Rj — CEP 20040-040",Marcelle Mascaro Nardino,Presidente,BrasilAPI
77162881000171,DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"Rua Marechal Deodoro, 261 Loja 6 — Centro — Curitiba/Pr — CEP 80020-320",Antonio Deboni Neto,Sócio-Administrador,BrasilAPI
89784367000157,EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Rua Eduardo Sprada, 4150 — Campo Comprido — Curitiba/Pr — CEP 81210-370",Evana Baggio Portugal,Sócio-Administrador,BrasilAPI
47965438000178,EQI INVESTIMENTOS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"Avenida Brig Faria Lima, 3600 Andar 10 Conj 101 E 102 Parte — Itaim Bibi — Sao Paulo/Sp — CEP 04538-132",Juliano Avila Custodio,Presidente,BrasilAPI
34190991000134,"EUROINVEST S.A. CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS","Rua Paraguai, 145 Sala 1006 Edif Etr — Vila Moema — Tubarao/Sc — CEP 88705-876",Adriana Maria Batista Coderch,Diretor,BrasilAPI
08673569000120,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Avenida Paulista, 1159 Andar 13 Conj 1.304 — Bela Vista — Sao Paulo/Sp — CEP 01311-921",Anderson Aparecido Dias,Administrador,BrasilAPI
10280601000159,FIDUCIAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Rua Espirito Santo 616, 616 Andar: 8°; — Centro — Belo Horizonte/Mg — CEP 30160-920",Rodrigo Mendes Purri,Sócio-Administrador,BrasilAPI
28650236000192,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"Avenida Reboucas, 3507 Andar 1 Parte — Pinheiros — Sao Paulo/Sp — CEP 05401-400",Arnaldo Augusto Dequech Curvello,Presidente,BrasilAPI
10749264000104,GDC PARTNERS SERVIÇOS FIDUCIÁRIOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Avenida Ayrton Senna, 3000 Parte 3 Bloco Itanhanga Sala 3105 — Barra Da Tijuca — Rio De Janeiro/Rj — CEP 22775-003",Juarez Celio Da Gama Dias Costa,Sócio-Administrador,BrasilAPI
47227569000158,GLOBAL INVESTMENT SERVICES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Rua Bela Cintra, 1149 Andar Sobreloja — Consolacao — Sao Paulo/Sp — CEP 01415-907",Caio Fasanella Kairalla,Administrador,BrasilAPI
57707777000108,GURU CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Avenida Brig Faria Lima, 1685 Conj 3H — Jardim Paulistano — Sao Paulo/Sp — CEP 01452-916",Guilherme Marin,Administrador,minhareceita
17312083000157,H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS,"Avenida Bernardo Monteiro, 1539 — Funcionarios — Belo Horizonte/Mg — CEP 30150-281",Heitor Mascarenhas Picchioni,Diretor,minhareceita
01788147000150,H.COMMCOR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Rua Urussui, 300 Andar 9 Conj 93 — Itaim Bibi — Sao Paulo/Sp — CEP 04542-903",Luiz Eduardo De Paula,Sócio-Administrador,minhareceita
35470647000161,HEDGEPOINT GLOBAL MARKETS DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS LTDA.,"Avenida Jose De Souza Campos, 507 Andar 9 — Cambui — Campinas/Sp — CEP 13025-320",Eduardo Bouzan Guimaraes Roedel,Administrador,minhareceita
45457891000148,LEV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Avenida Brig Faria Lima, 1234 Andar 5 — Jardim Paulistano — Sao Paulo/Sp — CEP 01451-913",Marcelo Cerize,Sócio-Administrador,minhareceita
50579044000196,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.,"Avenida Angelica, 2503 Conj 105 A 108 Cond Ed Higi Offi Tower — Consolacao — Sao Paulo/Sp — CEP 01227-200",Joao Carlos Canto Kneese,Sócio-Administrador,minhareceita
97447304000133,MOMENTO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"Rua Da Ajuda, 35 Salao 1901 Parte — Centro — Rio De Janeiro/Rj — CEP 20040-000",Jose Jacob Barata,Sócio-Administrador,minhareceita
50489148000100,MONTE BRAVO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"Rua Min Jesuino Cardoso, 454 Andar 9 Sala 91 — Vila Nova Conceicao — Sao Paulo/Sp — CEP 04544-051",Caio Beltrao Rizk,Diretor,minhareceita
87963450000168,NIKOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Rua Visconde De Piraja, 00470 Sal 401 — Ipanema — Rio De Janeiro/Rj — CEP 22410-002",Breno Casiuch,Administrador,minhareceita
11495073000118,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,"Avenida Cidade Jardim, 400 Conj 173 174 175 E 176 — Jardim Paulistano — Sao Paulo/Sp — CEP 01454-901",Elson Do Nascimento Nunes Gusmao,Administrador,minhareceita
01582158000180,OPPORTUNITY DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,"Rua Visconde De Piraja, 00351 Sala 1.401 Duplex — Ipanema — Rio De Janeiro/Rj — CEP 22410-906",Ana Carolina De Oliveira Silva Moreira Lima,Administrador,minhareceita
62667674000100,OXY DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"Avenida Plinio Brasil Milano, 567 Sala 1001 — Auxiliadora — Porto Alegre/Rs — CEP 90450-085",Lisandra Ughini,Diretor,minhareceita
73279093000109,PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"Rua Sete De Setembro, 20 — Centro — Joacaba/Sc — CEP 89600-000",Caroline Hack,Administrador,minhareceita
17343682000138,PENTAGONO S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,"Avenida Das Americas, 4200 Bloco 08 Sala 302 B 303 B E 304 B — Barra Da Tijuca — Rio De Janeiro/Rj — CEP 22640-102",Karolina Goncalves Vangelotti,Diretor,minhareceita
89960090000176,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA,"Rua Olimpiadas, 205 — Vila Olimpia — Sao Paulo/Sp — CEP 04551-000",Adalbero De Araujo Cavalcanti,Administrador,minhareceita
17352220000187,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,"Avenida Ataulfo De Paiva, 135 Sala: 810; — Leblon — Rio De Janeiro/Rj — CEP 22440-032",Mario Celso Coutinho De Souza Dias,Presidente,minhareceita
68757681000170,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.,"Avenida Carlos Gomes, 300 Andar 7 Sala 8 — Boa Vista — Porto Alegre/Rs — CEP 90480-000",Gabriela Do Nascimento Nogueira,Diretor,minhareceita
15173776000180,SOCIAL BANK BANCO MÚLTIPLO S/A,"Avenida Tancredo Neves, 002227 Edif Salvador Prime Torre Mista Sala 805 — Caminho Das Arvores — Salvador/Ba — CEP 41820-021",Rodrigo Borges Cunha,Presidente,minhareceita
62280490000184,TRADERS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Avenida Pres Juscelino Kubitschek, 1830 Edif Sao Luis Torre 2 Andar 5 Conj 52 — Vila Nova Conceicao — Sao Paulo/Sp — CEP 04543-900",Israel Calebe Massa,Administrador,minhareceita
02276653000123,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"Rua 72, 325 Quadrac14 Lote 10-13 Edif Trend Office Home Andar 12 — Jd Goias — Goiania/Go — CEP 74805-480",Bruno Cavalcante Nunes,Diretor,minhareceita
53899051000163,UNICRED DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"Rua Dezoito De Novembro, 314 Sala Dtvm — Navegantes — Porto Alegre/Rs — CEP 90240-040",Alexandre Euzebio Silva,Administrador,minhareceita
20155248000139,UNIDA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"Alameda Rio Negro, 500 Pavmto17 Torre 2 Cond West Towers Sala 1703 1704 1706E 1708 — Alphaville Centro Industrial E Empresarial/Alphav — Barueri/Sp — CEP 06454-000",Julio Cesar Beranger,Administrador,minhareceita
14388516000160,VIC-DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A,"Rua Da Assembleia, 10 Grupo 2701 — Centro — Rio De Janeiro/Rj — CEP 20011-901",Victor Adler,Presidente,minhareceita
38429045000159,VIS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,"Avenida Das Flores, 945 Sala 103 Andar 1 — Jardim Cuiaba — Cuiaba/Mt — CEP 78043-172",Sandro Sebastiao Gomes Da Silva,Sócio-Administrador,minhareceita
47631123000194,WEALTH HIGH GOVERNANCE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"Avenida Cidade Jardim, 803 Andar 7 Conj 72 — Itaim Bibi — Sao Paulo/Sp — CEP 01453-000",Andre Davino Mitidieri,Diretor,minhareceita
